0	6055	0	1
0	6355	0	1
0	9469	0	1
1	6814	0	1
1	5600	0	1
1	7744	0	1
1	7724	0	1
2	6314	0	1
2	8857	0	1
2	7818	0	1
3	5915	0	1
3	9529	0	1
4	5289	0	1
4	9431	0	1
5	6814	0	1
5	5874	0	1
5	7744	0	1
5	8364	0	1
6	9140	0	1
6	8185	0	1
6	4185	0	1
7	8979	0	1
7	8164	0	1
8	6580	0	1
8	6355	0	1
8	6787	0	1
9	9549	0	1
9	9592	0	1
9	6584	0	1
9	9531	0	1
10	9564	0	1
10	5924	0	1
10	7978	0	1
11	8770	0	1
11	9174	0	1
11	6870	0	1
11	4266	0	1
11	9573	0	1
11	9533	0	1
12	9563	0	1
12	10703	0	1
12	9190	0	1
13	9593	0	1
13	8349	0	1
14	9538	0	1
14	5942	0	1
15	9560	0	1
15	9559	0	1
15	9296	0	1
16	5601	0	1
17	5776	0	1
17	5075	0	1
17	10801	0	1
17	4951	0	1
17	5778	0	1
18	4988	0	1
18	4884	0	1
18	5691	0	1
19	9364	0	1
19	5432	0	1
19	6085	0	1
20	6207	0	1
20	6355	0	1
20	5971	0	1
21	4590	0	1
21	8168	0	1
22	9740	0	1
22	5034	0	1
22	10322	0	1
23	9457	0	1
23	8989	0	1
24	7331	0	1
24	4822	0	1
25	9500	0	1
25	4278	0	1
25	9344	0	1
25	6517	0	1
25	9215	0	1
25	9510	0	1
25	9324	0	1
25	8113	0	1
26	7331	0	1
26	5337	0	1
27	6099	0	1
27	10736	0	1
27	9518	0	1
28	8963	0	1
28	7567	0	1
28	6292	0	1
28	8794	0	1
29	6556	0	1
29	9832	0	1
29	8550	0	1
30	6915	0	1
30	8313	0	1
30	4498	0	1
31	9324	0	1
31	9500	0	1
31	10723	0	1
31	8113	0	1
32	4521	0	1
32	9703	0	1
32	9462	0	1
33	7837	0	1
33	9447	0	1
33	8796	0	1
33	8482	0	1
33	10779	0	1
34	7324	0	1
34	7249	0	1
34	9512	0	1
35	9249	0	1
35	9532	0	1
35	4654	0	1
36	9481	0	1
36	6868	0	1
36	4839	0	1
36	8858	0	1
37	5239	0	1
37	8383	0	1
37	9554	0	1
37	4707	0	1
38	6813	0	1
38	9521	0	1
38	6608	0	1
39	7445	0	1
39	9339	0	1
39	8982	0	1
40	8466	0	1
40	6247	0	1
40	9278	0	1
41	7137	0	1
41	7803	0	1
41	6746	0	1
41	8188	0	1
42	4266	0	1
42	6855	0	1
42	8770	0	1
42	9478	0	1
43	8997	0	1
43	9753	0	1
43	6759	0	1
43	9324	0	1
43	5990	0	1
44	9426	0	1
44	10726	0	1
44	4336	0	1
44	9591	0	1
45	5111	0	1
45	9708	0	1
45	8031	0	1
45	9486	0	1
