8197	1
2732	3
8204	2
23	1
8219	0
8221	1
8226	1
8233	0
8201	0
62	2
63	2
70	3
12	2
80	3
82	3
84	1
86	2
91	1
8294	3
8304	3
119	3
4914	0
134	1
138	2
8215	3
142	2
8335	0
146	1
8340	0
9584	2
9585	0
8366	3
8369	2
188	2
13686	1
8400	2
8412	2
8417	0
8422	2
8425	1
240	0
249	2
267	1
279	2
8473	2
8480	0
8485	0
8493	0
308	0
311	1
312	0
8506	2
13150	2
323	2
326	1
8520	0
8524	0
339	0
341	2
8536	0
352	2
8557	0
8254	0
383	2
12352	0
390	0
391	3
8588	2
398	2
400	2
402	1
405	3
418	2
423	2
429	1
434	2
9289	0
8632	0
8633	2
8634	3
8635	1
477	1
8675	0
8677	0
487	0
8687	1
8690	1
499	1
505	0
509	3
8705	1
8717	1
531	3
8725	0
8730	0
545	1
8749	2
563	2
8758	0
581	3
597	0
8795	0
623	0
631	3
640	3
8843	0
8844	0
656	3
8851	0
8854	1
668	0
674	0
697	0
8890	0
13771	1
8904	0
718	3
730	0
8940	1
754	1
8952	2
764	1
8972	0
8975	0
8976	0
8986	1
796	2
799	2
8995	2
815	0
9018	0
9024	2
6443	2
9029	2
846	0
9042	0
851	0
301	0
854	0
9054	2
863	0
9080	3
9083	3
898	0
907	0
9103	3
915	1
9109	0
928	1
9122	2
932	0
935	0
9130	0
950	1
953	2
9154	0
964	2
971	2
988	1
9186	2
1531	1
9188	0
9194	3
10680	1
1013	2
1021	0
9214	3
9215	2
9220	2
1030	3
1041	0
1042	0
9236	1
9241	3
1055	2
1097	0
9292	3
9296	3
11109	3
1126	2
4285	0
9331	0
9333	3
9334	1
1143	0
1144	3
9338	2
9340	0
1152	0
1181	2
9378	0
1190	2
1199	3
1217	0
1220	0
9416	0
1227	1
9426	2
1256	0
10509	2
1266	3
9459	3
1284	0
9480	1
1289	1
9485	1
5677	2
1297	2
9493	1
9502	0
1312	3
9505	2
1323	2
9522	0
9523	0
1337	3
1342	0
1345	2
1352	0
9545	0
1359	1
1364	0
11151	1
1377	0
1378	0
9866	2
9575	1
9576	2
9588	2
1406	2
1413	1
9614	3
1424	1
9623	1
1432	2
1443	0
9653	0
9667	1
1476	1
10539	0
1482	0
9675	0
2980	2
9699	0
1514	1
2983	3
1518	2
9713	3
9723	1
9725	1
1535	0
9729	2
258	3
1555	3
1557	2
9782	0
1596	0
9792	2
1625	2
1634	1
13694	1
1665	1
1671	2
1673	2
1674	2
1675	2
1694	1
9889	0
9906	3
1717	0
1719	0
9913	1
9918	1
9936	2
9939	2
1755	1
9948	1
1760	2
9957	0
9961	0
9979	2
9991	2
1808	2
1812	2
10010	3
1821	0
10017	3
10022	0
1835	0
1853	0
10046	2
1856	3
10077	3
10099	0
10101	2
5792	2
10113	2
4429	2
10162	0
1986	3
1993	3
1999	2
2010	1
10210	0
10219	1
7160	3
10231	2
10241	0
10259	1
10279	0
2092	2
10291	3
10292	0
7177	0
10296	0
10303	2
10306	0
2117	0
10313	1
10320	0
10324	0
10333	3
10335	3
10489	3
2163	0
10358	3
2170	0
2174	2
10383	2
2196	3
2197	0
10393	0
10396	0
1733	3
12656	1
2212	0
2220	1
10421	0
10434	1
10439	2
10445	3
2257	0
10450	2
10461	0
2279	1
10479	0
10485	3
2299	1
